usn,name,department,semester,attendance,internal_marks,assignment_score,quiz_score,lab_marks,semester_marks,study_hours
1RV21CSE1022,Rahul Naik,CSE,1,91.05,50.0,38.0,31.65,28.89,171.3,5.58
1RV21CSE1023,Vikram Shastri,CSE,1,80.14,44.16,34.79,26.91,39.32,118.82,5.64
1RV21CSE1024,Sharath Sharma,CSE,1,87.1,50.0,27.58,33.86,28.58,151.9,3.61
1RV21CSE1025,Anand Patil,CSE,1,72.6,35.75,14.35,45.97,34.61,113.07,2.54
1RV21CSE1026,Srinivas Mishra,CSE,1,44.48,28.4,38.93,44.19,30.69,69.45,2.72
1RV21CSE1027,Amit Patil,CSE,1,53.63,25.19,35.52,24.86,36.57,91.06,4.45
1RV21CSE1028,Nandini Prasad,CSE,1,94.26,50.0,46.38,30.35,45.09,155.12,2.22
1RV21CSE1029,Vinay Kapoor,CSE,1,30.38,18.63,36.5,46.74,33.64,80.51,2.78
1RV21CSE1030,Swathi Gowda,CSE,1,58.6,38.86,32.82,25.34,31.41,105.56,3.0
1RV21CSE1031,Aditya Iyer,CSE,1,99.12,36.3,28.0,34.71,40.05,121.85,0.2
1RV21CSE1032,Sagar Sharma,CSE,1,37.69,19.43,20.94,34.68,31.25,79.95,2.52
1RV21CSE1033,Pooja Mehra,CSE,1,80.2,42.12,34.24,39.77,26.26,115.23,2.13
1RV21CSE1034,Rahul Rao,CSE,1,71.53,27.54,17.95,39.53,35.22,136.53,7.18
1RV21CSE1035,Deepak Swamy,CSE,1,53.98,26.87,35.95,30.26,47.46,74.37,0.22
1RV21CSE1036,Vinay Mehra,CSE,1,62.35,33.69,36.19,21.57,50.0,123.3,0.2
1RV21CSE1037,Gayathri Yadav,CSE,1,60.95,23.23,24.23,41.21,50.0,64.35,3.49
1RV21CSE1038,Nandini Shetty,CSE,1,30.95,31.66,29.28,31.81,31.63,90.75,1.89
1RV21CSE1039,Arvind Singh,CSE,1,68.66,44.53,47.78,44.02,37.03,132.0,4.31
1RV21CSE1040,Manish Gupta,CSE,1,53.73,30.3,46.48,22.86,37.33,126.26,4.81
1RV21CSE1041,Deepika Chauhan,CSE,1,31.02,30.82,8.94,24.13,50.0,116.64,5.5
1RV21CSE1042,Ganesh Kumar,CSE,1,99.5,49.8,38.72,28.72,25.26,155.2,2.17
1RV21CSE1043,Ajay Kapoor,CSE,1,73.99,37.58,20.85,35.21,37.77,108.12,6.24
1RV21CSE1044,Anjali Menon,CSE,1,61.21,18.13,42.2,43.5,27.0,78.98,2.71
1RV21CSE1045,Sachin Chauhan,CSE,1,65.29,38.58,25.15,35.3,39.55,137.57,6.02
1RV21CSE1046,Nikhil Aggarwal,CSE,1,62.09,26.18,27.71,34.7,26.38,106.13,6.56
1RV21CSE1047,Yogesh Acharya,CSE,1,53.02,29.97,34.56,42.13,46.05,86.19,3.87
1RV21CSE1048,Rakesh Aggarwal,CSE,1,78.63,31.87,47.89,30.12,19.55,122.5,4.68
1RV21CSE1049,Arjun Kumar,CSE,1,72.66,42.24,34.28,26.54,22.1,148.9,4.45
1RV21CSE1050,Murali Prasad,CSE,1,98.11,44.67,46.6,48.33,33.52,159.1,2.65
1RV21CSE1051,Bharath Gupta,CSE,1,92.35,50.0,28.81,29.6,33.09,194.54,0.38
1RV21CSE1052,Sagar Mehra,CSE,1,80.74,26.13,18.18,41.76,25.18,107.29,1.41
1RV21CSE1053,Shiva Swamy,CSE,1,95.72,37.54,24.35,31.35,33.22,163.88,3.72
1RV21CSE1054,Nandini Bhat,CSE,1,50.26,18.77,37.83,30.97,41.1,82.51,3.04
1RV21CSE1055,Mahesh Gupta,CSE,1,64.31,34.83,34.32,41.1,28.1,132.92,6.65
1RV21CSE1056,Ajay Saxena,CSE,1,84.98,40.87,31.34,40.54,24.97,107.23,4.12
1RV21CSE1057,Sachin Murthy,CSE,1,98.98,32.81,17.51,38.89,21.27,129.18,3.73
1RV21CSE1058,Chetan Mishra,CSE,1,84.45,44.9,33.64,25.18,24.73,159.04,5.24
1RV21CSE1059,Aditya Aggarwal,CSE,1,33.67,19.0,19.64,21.14,41.23,76.19,4.26
1RV21CSE1060,Ganesh Murthy,CSE,1,63.54,29.15,41.74,18.17,48.79,99.91,7.85
1RV21CSE1061,Ashwin Desai,CSE,1,82.32,32.99,31.98,26.4,39.12,122.19,7.61
1RV21CSE1062,Siddharth Reddy,CSE,1,90.89,45.61,29.92,36.27,33.66,171.41,5.41
1RV21CSE1063,Tejas Yadav,CSE,1,58.48,31.47,22.73,41.01,46.96,102.63,3.69
1RV21CSE1064,Manish Naik,CSE,1,61.4,19.35,21.09,8.64,23.99,60.22,6.53
1RV21CSE1065,Anjali Gowda,CSE,1,43.6,19.08,32.69,46.99,28.65,95.91,4.6
1RV21CSE1066,Tejas Kumar,CSE,1,41.83,21.0,40.66,21.02,40.76,61.26,6.44
1RV21CSE1067,Mohan Naik,CSE,1,56.4,32.05,40.62,22.31,36.21,115.6,0.91
1RV21CSE1068,Pramod Malhotra,CSE,1,68.45,34.99,20.95,36.75,22.28,116.11,4.71
1RV21CSE1069,Divya Bhat,CSE,1,81.9,35.63,18.61,33.32,31.43,132.89,4.18
1RV21CSE1070,Lakshmi Iyer,CSE,1,62.81,33.6,23.29,42.49,23.44,114.53,3.75
1RV21CSE1071,Kavya Rao,CSE,1,73.0,41.67,25.03,27.23,18.96,140.68,3.18
1RV21CSE1072,Naveen Gupta,CSE,1,73.07,31.88,36.22,24.57,25.59,104.6,2.96
1RV21CSE1073,Shiva Deshpande,CSE,1,60.18,36.36,29.48,37.46,31.59,105.98,3.3
1RV21CSE1074,Varun Pillai,CSE,1,27.85,21.19,43.25,25.21,8.65,57.0,3.27
1RV21CSE1075,Meera Pillai,CSE,1,67.12,38.93,26.94,46.34,34.92,131.4,4.91
1RV21CSE1076,Aditya Mishra,CSE,1,77.03,37.71,32.94,27.31,43.03,110.64,7.43
1RV21CSE1077,Rajesh Verma,CSE,1,76.99,38.4,18.9,30.75,30.99,125.07,5.15
1RV21CSE1078,Ananya Singh,CSE,1,31.27,28.45,43.52,14.73,23.14,88.44,5.66
1RV21CSE1079,Girish Swamy,CSE,1,64.97,40.38,20.31,36.17,50.0,143.81,5.98
1RV21CSE1080,Lakshmi Desai,CSE,1,89.83,39.57,27.06,32.0,36.16,159.45,3.53
1RV21CSE1081,Yashwanth Verma,CSE,1,68.65,38.24,27.84,13.48,19.84,134.19,6.31
1RV21CSE1082,Vishal Pillai,CSE,1,57.42,23.39,37.68,15.58,17.25,93.91,2.89
1RV21CSE1083,Tanmay Patel,CSE,1,44.24,19.19,41.46,24.38,25.48,77.42,2.33
1RV21CSE1084,Sharath Mishra,CSE,1,80.25,30.6,37.15,43.76,23.62,116.62,3.25
1RV21CSE1085,Ishita Kapoor,CSE,1,68.85,33.46,33.72,9.67,19.45,106.5,4.49
1RV21CSE1086,Darshan Bhat,CSE,1,91.41,45.32,44.06,21.52,25.16,167.14,4.4
1RV21CSE1087,Akshata Acharya,CSE,1,54.9,18.83,24.61,44.84,27.84,115.71,4.38
1RV21CSE1088,Hari Rao,CSE,1,51.04,25.77,40.12,41.0,31.29,47.69,3.01
1RV21CSE1089,Sharath Tiwari,CSE,1,62.08,33.73,21.14,44.11,22.28,96.74,4.15
1RV21CSE1090,Venkat Swamy,CSE,1,93.76,47.88,24.16,45.26,35.29,169.21,0.8
1RV21CSE1091,Manish Mehra,CSE,1,90.36,42.15,35.04,50.0,49.51,172.3,2.88
1RV21CSE1092,Naveen Chauhan,CSE,1,63.67,30.57,22.04,17.64,34.12,101.26,3.77
1RV21CSE1093,Kavya Bansal,CSE,1,35.03,21.62,37.28,23.33,35.32,59.21,5.46
1RV21CSE1094,Aarav Kamath,CSE,1,63.4,30.48,13.15,15.84,26.64,119.81,2.03
1RV21CSE1095,Manoj Iyer,CSE,1,56.88,38.75,15.34,47.82,50.0,90.82,3.62
1RV21CSE1096,Arvind Kumar,CSE,1,89.64,38.55,42.3,39.22,28.44,167.41,3.27
1RV21CSE1097,Mahesh Mishra,CSE,1,81.12,37.71,40.77,27.87,47.04,151.17,6.7
1RV21CSE1098,Vivek Hegde,CSE,1,95.18,35.93,39.82,37.0,41.36,152.35,3.19
1RV21CSE1099,Akash Rao,CSE,1,93.01,33.14,38.2,21.68,27.17,153.91,3.72
1RV21CSE1100,Karthik Aggarwal,CSE,1,35.54,30.14,37.89,50.0,18.19,91.28,1.58
1RV21CSE2001,Meera Naik,CSE,2,46.02,28.31,34.52,28.08,35.14,79.25,2.79
1RV21CSE2002,Sagar Raju,CSE,2,79.15,26.96,24.86,32.15,36.2,122.77,1.68
1RV21CSE2003,Nandini Mishra,CSE,2,80.54,35.45,24.57,32.04,32.96,128.28,4.8
1RV21CSE2004,Sharath Shetty,CSE,2,35.53,34.37,42.79,39.25,32.41,119.37,2.85
1RV21CSE2005,Hari Patel,CSE,2,77.56,41.76,24.68,30.85,22.41,128.49,5.0
1RV21CSE2006,Akash Bhat,CSE,2,71.31,45.95,33.02,35.25,9.12,162.68,1.91
1RV21CSE2007,Venkat Gupta,CSE,2,58.88,26.12,22.9,18.41,26.7,73.03,1.64
1RV21CSE2008,Meera Kumar,CSE,2,43.08,21.74,42.05,14.33,25.99,86.91,4.31
1RV21CSE2009,Ashwin Nair,CSE,2,81.62,47.61,38.81,22.64,25.82,151.06,5.54
1RV21CSE2010,Manoj Kamath,CSE,2,99.5,43.71,22.91,50.0,48.29,178.9,7.13
1RV21CSE2011,Akash Mehra,CSE,2,50.83,34.72,44.36,31.19,20.09,113.22,2.38
1RV21CSE2012,Keerthana Naik,CSE,2,50.93,23.74,21.94,10.75,18.29,75.35,5.68
1RV21CSE2013,Priya Tiwari,CSE,2,84.86,35.96,27.4,33.29,40.23,125.6,2.69
1RV21CSE2014,Santhosh Kulkarni,CSE,2,72.38,29.91,38.2,46.13,28.65,90.92,2.9
1RV21CSE2015,Mahesh Raju,CSE,2,52.82,18.09,14.32,12.71,30.44,97.44,3.9
1RV21CSE2016,Nandini Menon,CSE,2,91.11,48.3,40.89,5.0,26.15,148.73,4.91
1RV21CSE2017,Kavya Joshi,CSE,2,99.5,40.3,37.79,34.14,17.67,116.61,5.04
1RV21CSE2018,Aditya Kapoor,CSE,2,77.07,39.11,50.0,16.22,29.01,135.68,2.29
1RV21CSE2019,Suresh Bansal,CSE,2,99.5,44.04,35.24,34.58,32.98,164.07,3.28
1RV21CSE2020,Vivek Iyer,CSE,2,68.51,34.08,24.86,26.96,37.98,139.62,4.46
1RV21CSE2021,Sagar Joshi,CSE,2,71.44,27.18,34.1,17.0,41.25,115.46,4.0
1RV21CSE2022,Ramesh Patel,CSE,2,70.2,18.63,38.72,41.65,36.83,67.77,5.09
1RV21CSE2023,Mohan Swamy,CSE,2,78.61,37.61,29.13,27.45,31.01,150.36,1.98
1RV21CSE2024,Yashwanth Dubey,CSE,2,67.22,30.54,43.4,12.32,39.78,124.87,5.23
1RV21CSE2025,Shiva Yadav,CSE,2,37.91,27.61,15.94,40.63,21.29,99.38,2.9
1RV21CSE2026,Rajesh Menon,CSE,2,86.39,47.99,27.62,25.25,33.63,168.53,4.48
1RV21CSE2027,Keerthana Kulkarni,CSE,2,49.56,23.58,23.72,26.29,39.05,93.63,1.98
1RV21CSE2028,Rahul Kamath,CSE,2,46.16,20.65,26.51,23.29,30.07,70.08,2.43
1RV21CSE2029,Pooja Iyer,CSE,2,81.72,32.86,33.03,15.67,39.12,94.63,6.78
1RV21CSE2030,Pramod Mehra,CSE,2,66.71,45.96,35.78,34.16,26.77,148.84,6.04
1RV21CSE2031,Manish Deshpande,CSE,2,65.25,34.89,41.1,42.61,46.4,126.37,4.28
1RV21CSE2032,Sagar Yadav,CSE,2,70.61,29.01,39.72,35.22,39.5,91.29,7.33
1RV21CSE2033,Yashwanth Rao,CSE,2,79.78,34.59,32.09,26.49,41.49,132.01,1.31
1RV21CSE2034,Ashwin Bhat,CSE,2,83.31,39.7,43.71,27.0,36.61,127.62,1.33
1RV21CSE2035,Sagar Patel,CSE,2,89.32,41.96,30.99,29.2,31.03,154.31,4.4
1RV21CSE2036,Rashmita Joshi,CSE,2,82.5,47.81,32.8,34.84,40.86,147.05,1.47
1RV21CSE2037,Gayathri Gowda,CSE,2,48.35,31.87,21.78,34.76,39.88,105.86,1.85
1RV21CSE2038,Ashwin Kamath,CSE,2,79.88,37.88,33.36,21.05,47.43,109.81,1.2
1RV21CSE2039,Jyothi Rao,CSE,2,64.15,32.55,22.7,34.38,49.02,124.98,3.47
1RV21CSE2040,Tanmay Gowda,CSE,2,59.26,26.79,31.68,6.13,31.78,82.0,5.85
1RV21CSE2041,Suresh Singh,CSE,2,83.05,40.84,34.66,35.62,33.2,132.58,5.91
1RV21CSE2042,Jagadish Kapoor,CSE,2,64.37,31.94,21.1,42.6,27.68,95.65,1.61
1RV21CSE2043,Swathi Hegde,CSE,2,53.18,30.11,19.9,15.58,25.96,91.54,5.29
1RV21CSE2044,Karthik Patil,CSE,2,81.0,34.0,38.04,11.39,13.46,140.59,4.8
1RV21CSE2045,Ajay Tiwari,CSE,2,32.87,13.3,31.8,26.82,42.86,42.76,4.43
1RV21CSE2046,Pavan Hegde,CSE,2,94.71,48.48,29.13,37.84,17.09,167.04,3.42
1RV21CSE2047,Nikhil Kumar,CSE,2,72.27,40.73,20.71,34.97,37.72,143.99,3.12
1RV21CSE2048,Chandana Bansal,CSE,2,90.06,48.54,36.56,25.01,39.94,144.26,2.87
1RV21CSE2049,Rajesh Bansal,CSE,2,83.34,34.31,27.21,26.98,19.16,157.45,2.93
1RV21CSE2050,Yashwanth Rao,CSE,2,54.98,26.11,41.05,35.21,17.08,78.65,0.53
1RV21CSE2051,Sagar Rao,CSE,2,60.52,25.18,25.87,37.97,35.65,103.1,5.47
1RV21CSE2052,Sanjana Kulkarni,CSE,2,65.29,34.68,38.92,33.11,22.59,91.72,2.77
1RV21CSE2053,Sagar Kumar,CSE,2,52.66,16.99,22.06,19.98,36.22,80.39,2.61
1RV21CSE2054,Tanmay Swamy,CSE,2,48.41,31.44,34.58,24.48,9.65,79.67,1.57
1RV21CSE2055,Girish Gupta,CSE,2,56.86,27.81,36.05,18.45,37.39,84.38,8.41
1RV21CSE2056,Jagadish Kamath,CSE,2,55.06,29.52,20.36,24.29,35.62,105.43,5.83
1RV21CSE2057,Rajesh Patil,CSE,2,48.85,16.63,27.62,28.28,42.96,45.45,2.83
1RV21CSE2058,Harish Swamy,CSE,2,99.5,46.63,28.84,5.42,41.34,162.83,5.44
1RV21CSE2059,Deepika Reddy,CSE,2,56.44,31.83,25.06,37.73,38.59,109.77,3.16
1RV21CSE2060,Akshata Hegde,CSE,2,79.47,40.02,38.26,38.16,20.82,149.81,5.66
1RV21CSE2061,Girish Aggarwal,CSE,2,79.31,36.84,31.29,50.0,19.17,120.97,2.64
1RV21CSE2062,Venkat Singh,CSE,2,70.48,33.08,34.97,12.88,40.72,108.44,3.73
1RV21CSE2063,Murali Bansal,CSE,2,47.2,23.61,17.81,22.04,32.87,83.35,2.09
1RV21CSE2064,Varun Rao,CSE,2,90.69,35.13,30.61,43.2,29.74,135.72,1.41
1RV21CSE2065,Rohan Murthy,CSE,2,75.76,34.24,24.67,36.94,32.86,106.84,4.72
1RV21CSE2066,Pooja Saxena,CSE,2,77.51,35.63,23.05,43.29,36.11,128.38,2.47
1RV21CSE2067,Jagadish Verma,CSE,2,49.75,18.34,47.96,37.35,25.76,76.82,4.66
1RV21CSE2068,Siddharth Acharya,CSE,2,75.26,41.94,27.11,43.73,32.23,135.51,6.51
1RV21CSE2069,Kavya Kamath,CSE,2,52.47,35.54,37.97,22.62,39.12,119.69,5.78
1RV21CSE2070,Ajay Deshpande,CSE,2,53.0,34.48,30.08,5.01,33.32,81.0,3.11
1RV21CSE2071,Bharath Rao,CSE,2,18.79,23.84,35.53,38.31,39.41,73.99,2.95
1RV21CSE2072,Bharath Shetty,CSE,2,90.76,38.7,23.35,50.0,37.78,106.89,8.61
1RV21CSE2073,Prasad Patil,CSE,2,94.85,46.08,20.26,44.97,23.46,122.59,5.04
1RV21CSE2074,Darshan Kumar,CSE,2,91.24,44.02,37.23,23.61,26.25,153.44,3.36
1RV21CSE2075,Mahesh Swamy,CSE,2,88.47,38.14,33.07,15.68,24.09,133.58,2.7
1RV21CSE2076,Neha Reddy,CSE,2,60.99,29.71,20.29,19.29,40.54,102.15,4.89
1RV21CSE2077,Girish Yadav,CSE,2,86.76,39.25,42.06,23.59,45.64,158.01,0.2
1RV21CSE2078,Darshan Rao,CSE,2,83.43,44.03,7.68,46.27,31.87,140.35,1.3
1RV21CSE2079,Naveen Patel,CSE,2,88.89,32.5,44.79,23.09,35.91,108.12,4.37
1RV21CSE2080,Vikram Singh,CSE,2,80.33,37.46,29.77,20.05,30.12,136.4,1.35
1RV21CSE2081,Pramod Rao,CSE,2,88.61,42.44,29.65,17.71,25.18,153.23,2.67
1RV21CSE2082,Swathi Gowda,CSE,2,67.78,24.11,36.67,17.38,48.3,99.94,0.97
1RV21CSE2083,Varun Kulkarni,CSE,2,35.93,26.99,36.84,31.93,36.09,89.92,2.25
1RV21CSE2084,Deepika Dubey,CSE,2,97.4,50.0,20.14,29.94,45.78,158.08,3.21
1RV21CSE2085,Sachin Aggarwal,CSE,2,51.2,25.44,43.66,50.0,40.47,106.73,3.05
1RV21CSE2086,Tejas Kumar,CSE,2,47.88,26.41,29.86,45.12,36.63,69.26,2.29
1RV21CSE2087,Uday Raju,CSE,2,68.71,32.04,41.63,21.13,28.21,102.41,3.61
1RV21CSE2088,Anand Patel,CSE,2,99.5,35.05,36.4,36.23,40.82,123.46,3.86
1RV21CSE2089,Suresh Acharya,CSE,2,82.18,33.74,41.18,29.24,20.76,138.86,2.65
1RV21CSE2090,Nandini Tiwari,CSE,2,71.2,38.63,39.61,32.24,35.25,155.2,2.29
1RV21CSE2091,Ashwin Singh,CSE,2,99.5,40.82,41.05,6.38,31.95,138.77,6.72
1RV21CSE2092,Jagadish Mishra,CSE,2,99.5,48.93,23.92,39.28,37.82,153.83,3.85
1RV21CSE2093,Vinay Iyer,CSE,2,85.95,40.55,16.26,17.83,29.55,128.79,4.36
1RV21CSE2094,Vikram Desai,CSE,2,72.44,32.92,15.18,22.59,39.79,107.38,2.99
1RV21CSE2095,Shiva Kamath,CSE,2,91.09,44.05,32.73,21.13,46.56,148.2,7.09
1RV21CSE2096,Akash Menon,CSE,2,99.5,45.35,23.26,47.11,27.35,163.03,5.54
1RV21CSE2097,Pavan Kumar,CSE,2,81.38,38.4,26.35,40.81,21.16,138.1,1.9
1RV21CSE2098,Pramod Acharya,CSE,2,70.44,43.23,50.0,29.38,25.43,121.18,6.39
1RV21CSE2099,Santhosh Mishra,CSE,2,68.1,27.94,35.85,20.34,21.41,66.52,0.72
1RV21CSE2100,Arjun Bansal,CSE,2,55.87,13.08,36.15,33.91,17.76,45.5,2.15
1RV21CSE3001,Vinay Verma,CSE,3,84.14,44.87,17.99,15.58,41.15,162.37,7.79
1RV21CSE3002,Neha Pillai,CSE,3,80.63,41.39,33.03,39.78,44.22,113.25,5.16
1RV21CSE3003,Kiran Patil,CSE,3,66.03,24.13,5.0,15.45,24.33,93.85,5.42
1RV21CSE3004,Santhosh Deshpande,CSE,3,66.63,22.69,27.7,41.2,22.95,93.25,2.17
1RV21CSE3005,Manoj Pillai,CSE,3,86.04,36.83,24.85,50.0,48.36,126.42,2.73
1RV21CSE3006,Mohan Acharya,CSE,3,45.54,16.31,33.62,46.12,27.24,59.34,5.78
1RV21CSE3007,Sharath Murthy,CSE,3,86.3,34.54,22.31,45.66,34.6,128.36,4.2
1RV21CSE3008,Darshan Desai,CSE,3,69.98,32.42,25.06,34.12,26.68,99.78,2.96
1RV21CSE3009,Pooja Aggarwal,CSE,3,71.24,28.5,50.0,37.49,34.0,114.54,4.8
1RV21CSE3010,Kiran Naik,CSE,3,81.49,35.15,27.06,50.0,27.51,135.12,5.69
1RV21CSE3011,Kiran Verma,CSE,3,54.31,18.84,30.1,38.77,47.35,83.59,2.75
1RV21CSE3012,Karthik Nair,CSE,3,61.3,19.5,41.41,32.74,32.01,93.4,0.78
1RV21CSE3013,Varun Kamath,CSE,3,73.76,33.24,27.66,27.83,40.32,113.43,5.75
1RV21CSE3014,Murali Kulkarni,CSE,3,70.46,36.66,22.95,31.89,37.12,128.28,5.2
1RV21CSE3015,Rajesh Nair,CSE,3,88.26,39.37,27.82,45.82,37.32,155.01,2.32
1RV21CSE3016,Bharath Chauhan,CSE,3,57.95,25.43,40.93,50.0,47.36,54.83,4.1
1RV21CSE3017,Aarav Desai,CSE,3,57.43,32.46,31.05,39.78,22.8,93.69,3.38
1RV21CSE3018,Nandini Patil,CSE,3,88.95,35.82,22.27,39.0,44.55,156.79,1.75
1RV21CSE3019,Manish Joshi,CSE,3,44.47,12.65,27.24,35.75,42.9,51.45,0.2
1RV21CSE3020,Keerthana Raju,CSE,3,87.06,34.53,10.91,30.91,16.82,136.92,0.79
1RV21CSE3021,Yashwanth Rao,CSE,3,50.22,24.4,17.58,48.74,45.88,101.19,4.49
1RV21CSE3022,Santhosh Hegde,CSE,3,65.07,36.8,48.87,14.48,37.86,113.06,1.46
1RV21CSE3023,Rakesh Swamy,CSE,3,79.13,29.54,20.99,28.99,42.37,116.49,4.51
1RV21CSE3024,Akash Desai,CSE,3,44.97,27.77,16.87,27.05,31.71,83.47,4.04
1RV21CSE3025,Amit Gowda,CSE,3,92.27,39.7,30.55,36.74,41.5,154.92,2.9
1RV21CSE3026,Keerthana Murthy,CSE,3,26.02,5.0,39.09,26.77,35.56,59.4,2.68
1RV21CSE3027,Vikram Iyer,CSE,3,99.5,50.0,27.92,33.57,49.93,159.91,3.69
1RV21CSE3028,Jagadish Malhotra,CSE,3,22.16,10.55,36.48,31.56,42.92,43.84,4.46
1RV21CSE3029,Neha Kumar,CSE,3,78.85,29.77,34.09,7.29,39.08,111.85,3.88
1RV21CSE3030,Yashwanth Patil,CSE,3,74.79,34.24,35.01,17.29,37.2,118.07,0.39
1RV21CSE3031,Vikram Chauhan,CSE,3,85.14,37.62,43.34,22.77,19.31,118.25,4.05
1RV21CSE3032,Suresh Dubey,CSE,3,59.97,29.91,40.31,50.0,41.19,123.85,0.78
1RV21CSE3033,Bharath Mehra,CSE,3,23.81,16.78,45.92,24.11,34.76,39.04,2.61
1RV21CSE3034,Abhishek Nair,CSE,3,77.14,35.19,20.68,35.44,26.82,113.51,0.36
1RV21CSE3035,Amit Mehra,CSE,3,56.06,30.87,22.26,27.96,32.75,112.8,5.23
1RV21CSE3036,Keerthana Rao,CSE,3,81.38,25.48,27.82,40.15,35.79,100.42,3.19
1RV21CSE3037,Sneha Pillai,CSE,3,80.07,28.5,28.69,23.22,38.01,140.65,2.21
1RV21CSE3038,Lakshmi Pillai,CSE,3,99.5,45.74,30.82,42.56,32.97,156.13,5.95
1RV21CSE3039,Shreya Prasad,CSE,3,91.65,36.21,33.56,19.37,24.7,128.44,3.34
1RV21CSE3040,Murali Tiwari,CSE,3,93.53,50.0,48.38,9.34,36.28,172.51,2.61
1RV21CSE3041,Arvind Kumar,CSE,3,60.24,27.46,36.73,36.79,43.86,87.2,2.6
1RV21CSE3042,Akshata Gupta,CSE,3,77.12,26.72,44.97,13.96,33.06,99.11,2.23
1RV21CSE3043,Mohan Mishra,CSE,3,43.64,25.65,28.71,34.84,27.5,78.73,7.71
1RV21CSE3044,Amit Dubey,CSE,3,36.89,32.27,36.08,45.38,28.49,92.07,1.65
1RV21CSE3045,Ishita Gowda,CSE,3,71.35,32.19,22.34,29.62,23.15,96.19,1.96
1RV21CSE3046,Mohan Reddy,CSE,3,58.18,35.96,32.53,43.47,33.82,104.43,8.4
1RV21CSE3047,Rohan Chauhan,CSE,3,82.42,28.56,39.58,7.36,36.17,114.78,4.2
1RV21CSE3048,Sagar Desai,CSE,3,81.46,38.4,24.77,21.52,38.25,113.6,4.79
1RV21CSE3049,Sanjana Patel,CSE,3,57.93,17.62,20.76,12.11,33.24,67.36,1.84
1RV21CSE3050,Amit Sharma,CSE,3,87.71,37.97,28.03,38.92,22.3,112.39,7.82
1RV21CSE3051,Meera Dubey,CSE,3,83.36,35.07,44.49,20.18,26.46,119.3,5.93
1RV21CSE3052,Prasad Malhotra,CSE,3,59.46,27.38,30.99,38.62,29.62,113.8,2.93
1RV21CSE3053,Akash Gowda,CSE,3,64.93,38.09,14.22,21.29,28.03,102.36,1.3
1RV21CSE3054,Ananya Chauhan,CSE,3,91.69,39.93,22.79,36.54,36.77,157.03,4.63
1RV21CSE3055,Pramod Bansal,CSE,3,47.28,30.8,39.85,31.63,43.44,93.16,0.86
1RV21CSE3056,Chetan Nair,CSE,3,99.5,39.05,18.71,43.11,39.41,148.85,0.78
1RV21CSE3057,Ananya Bhat,CSE,3,88.07,46.62,21.07,16.55,31.26,156.59,5.04
1RV21CSE3058,Jyothi Bhat,CSE,3,72.5,35.43,34.56,17.26,37.83,111.38,3.43
1RV21CSE3059,Divya Iyer,CSE,3,49.13,22.49,36.29,8.55,42.27,79.66,4.03
1RV21CSE3060,Srinivas Singh,CSE,3,43.57,19.96,29.34,25.6,36.35,64.54,5.49
1RV21CSE3061,Priya Shetty,CSE,3,54.74,29.66,28.02,30.44,32.93,107.45,1.79
1RV21CSE3062,Anjali Tiwari,CSE,3,54.91,31.22,37.31,39.38,30.44,79.67,1.27
