usn,name,attendance,internal_marks,assignment_score,quiz_score,lab_marks,semester_marks,study_hours
1RV21CS089,Praveen Sawant,47.21,42.69,34.12,39.55,47.48,152.01,3.93
1RV21CS090,Vivek Chatterjee,98.3,34.1,32.25,29.63,23.14,121.16,3.06
1RV21CS091,Mahesh Dubey,81.44,32.01,42.81,21.1,22.64,119.14,1.58
1RV21CS092,Akash Bhattacharya,90.37,20.03,46.08,33.86,21.63,122.51,4.11
1RV21CS093,Mahesh Tripathi,69.31,21.55,28.01,23.93,28.64,112.27,3.42
1RV21CS094,Vivaan Tripathi,78.49,27.18,24.75,36.53,36.57,118.46,5.96
1RV21CS095,Rohan Menon,97.09,39.43,24.62,47.98,28.76,150.01,3.08
1RV21CS096,Lokesh Varma,58.41,36.54,31.51,47.66,35.25,153.41,5.32
1RV21CS097,Praveen Banerjee,63.69,43.63,28.02,20.08,41.78,145.92,3.9
1RV21CS098,Chirag Chatterjee,92.59,33.4,34.53,29.97,42.89,143.35,5.66
1RV21CS099,Amit Shekhar,58.13,31.49,45.68,32.32,29.55,134.64,5.57
1RV21CS100,Abhishek Bose,99.36,43.77,39.56,24.56,48.94,157.81,5.83
1RV21CS101,Tejas Iyer,93.08,33.21,35.78,33.71,41.67,146.39,4.27
1RV21CS102,Karthik Gupta,70.82,49.08,30.16,40.78,39.5,168.32,5.26
1RV21CS103,Prakash Bose,97.48,38.8,46.62,34.64,36.23,162.56,2.17
1RV21CS104,Dev Dubey,99.86,42.4,33.02,22.95,39.01,155.89,3.22
1RV21CS105,Hemant Mishra,94.69,21.38,43.88,28.8,31.25,120.89,3.66
1RV21CS106,Siddharth Gowda,88.59,25.1,22.37,46.13,38.59,127.57,5.56
1RV21CS107,Karthik Malhotra,70.36,27.62,27.66,20.28,44.14,131.29,4.39
1RV21CS108,Vishal Gupta,69.3,30.37,37.63,39.17,32.73,132.29,5.23
1RV21CS109,Amit Bose,91.93,23.2,31.44,30.77,28.88,122.89,1.11
1RV21CS110,Chirag Ghosh,60.1,36.98,40.57,42.34,21.47,139.94,3.48
1RV21CS111,Sanjay Malhotra,78.39,30.57,39.1,38.63,40.33,151.4,4.3
1RV21CS112,Rahul Tripathi,50.34,38.82,21.18,43.66,21.0,120.36,1.66
1RV21CS113,Sanjay Singh,86.11,25.27,23.96,36.18,49.14,136.88,5.57
1RV21CS114,Vishal Agarwal,95.27,48.33,49.02,28.85,46.11,184.04,3.34
1RV21CS115,Arjun Shetty,86.48,26.77,40.29,40.23,31.92,145.46,3.79
1RV21CS116,Sai Ghosh,45.77,36.1,33.64,40.18,40.17,145.36,5.11
1RV21CS117,Suraj Iyer,82.12,34.14,38.59,48.3,29.84,151.13,4.24
1RV21CS118,Vivek Menon,95.02,29.07,32.25,24.19,48.39,136.26,3.46
1RV21CS119,Krishna Kapoor,93.8,24.07,33.61,40.11,42.29,149.59,3.1
1RV21CS120,Shreyas Paul,53.5,32.45,22.97,34.68,32.24,130.34,1.16
1RV21CS121,Suraj Choudhary,69.39,48.52,45.66,22.98,40.57,162.12,5.89
1RV21CS122,Varun Patel,66.9,25.69,23.66,45.44,33.64,128.48,4.21
1RV21CS123,Tarun Verma,47.78,30.01,49.66,43.61,26.16,145.96,3.77
1RV21CS124,Suresh Choudhary,89.72,26.99,43.23,43.66,37.88,145.12,5.92
1RV21CS125,Rahul Chavan,58.79,25.23,39.83,20.77,20.45,112.64,2.19
1RV21CS126,Yash Verma,54.58,21.57,42.25,35.78,42.37,133.3,4.89
1RV21CS127,Naresh Patil,51.0,35.12,48.36,21.3,43.5,152.43,3.61
1RV21CS128,Gokul Tiwari,98.02,21.82,34.37,32.05,40.58,132.05,5.55
1RV21CS129,Arjun Nair,62.72,24.45,23.79,38.73,37.56,126.07,2.9
1RV21CS130,Tarun Thakur,61.22,35.17,32.91,43.79,23.43,135.61,5.39
1RV21CS131,Ramesh Paul,92.6,32.9,46.64,32.41,44.82,156.31,4.65
1RV21CS132,Yash Mukherjee,62.19,27.65,48.61,40.6,34.23,135.56,1.43
1RV21CS133,Arvind Iyer,85.95,31.18,23.9,21.8,48.7,134.05,4.35
1RV21CS134,Ajay Kumar,93.05,48.23,32.69,47.48,21.54,151.01,2.56
1RV21CS135,Krishna Sawant,72.91,24.64,34.47,45.42,30.5,132.1,1.57
1RV21CS136,Praveen Sawant,57.44,32.87,36.83,43.02,38.65,148.79,3.78
1RV21CS137,Tarun Bhat,90.62,28.02,25.41,41.08,29.27,123.97,1.03
1RV21CS138,Karthik Sawant,81.15,22.09,42.23,49.15,22.75,132.01,2.88
1RV21CS139,Gokul Yadav,53.66,29.35,29.73,48.24,37.89,145.27,1.78
1RV21CS140,Tanmay Saxena,47.74,22.45,33.29,32.72,38.21,118.7,2.08
1RV21CS141,Naresh Kulkarni,63.98,23.33,40.35,37.79,35.81,127.92,2.1
1RV21CS142,Tarun Patel,45.42,29.04,26.34,24.12,27.67,103.35,1.04
1RV21CS143,Shreyas Mukherjee,54.66,31.41,41.11,35.01,45.0,152.64,1.36
1RV21CS144,Shreyas Reddy,68.99,33.79,22.34,29.39,32.88,120.47,4.2
1RV21CS145,Sanjay Kulkarni,67.28,48.99,25.16,48.43,33.8,160.49,2.81
1RV21CS146,Arvind Iyer,58.38,37.67,35.72,31.87,29.31,130.93,2.67
1RV21CS147,Vishal Gupta,73.08,23.42,35.3,47.18,30.48,135.97,5.09
1RV21CS148,Karthik Kapoor,50.65,27.68,25.2,24.59,42.77,110.72,5.76
1RV21CS149,Vivek Chatterjee,70.52,36.91,37.38,40.43,46.46,161.27,5.93
1RV21CS150,Yash Tripathi,62.39,33.19,34.07,38.94,43.89,148.15,2.76
1RV21CS151,Arjun Mishra,70.4,21.13,31.06,28.61,39.34,129.26,1.45
1RV21CS152,Tarun Bhattacharya,66.15,37.41,48.63,42.17,21.23,153.83,3.86
1RV21CS153,Amit Singh,78.28,35.04,48.73,33.52,44.33,166.8,5.91
1RV21CS154,Sai Bhattacharya,80.54,21.17,41.23,49.73,35.72,143.65,2.82
1RV21CS155,Sanjay Bose,67.48,30.15,37.94,43.68,39.42,137.4,1.47
1RV21CS156,Dev Bose,60.63,41.71,39.7,47.19,46.2,165.22,3.91
1RV21CS157,Karthik Kumar,62.06,39.68,39.86,23.87,41.27,137.46,3.79
1RV21CS158,Yogesh Yadav,89.73,40.1,44.87,42.16,40.56,168.51,4.23
1RV21CS159,Arvind Bhattacharya,64.9,30.88,25.41,26.43,48.43,132.18,2.13
1RV21CS160,Rahul Shetty,49.24,45.33,23.03,43.13,45.05,161.08,1.19
1RV21CS161,Tejas Saxena,52.21,31.3,24.87,44.94,43.13,144.35,1.83
1RV21CS162,Dinesh Reddy,67.6,40.29,27.13,33.33,28.55,137.57,3.24
1RV21CS163,Prakash Kapoor,62.02,44.26,34.07,45.05,31.04,161.19,5.92
1RV21CS164,Gokul Dubey,87.8,35.09,32.56,24.86,25.99,128.6,5.37
1RV21CS165,Vihaan Tiwari,71.43,31.14,48.03,41.34,35.48,143.44,1.42
1RV21CS166,Vishal Pandey,69.71,35.4,44.93,22.75,47.32,157.21,5.42
1RV21CS167,Vivaan Banerjee,47.93,35.06,27.07,49.84,31.25,126.89,5.65
1RV21CS168,Kiran Tiwari,63.44,24.38,21.15,47.52,34.17,129.5,4.79
1RV21CS169,Lokesh Pillai,78.84,47.18,20.57,26.47,24.49,138.21,4.04
1RV21CS170,Arvind Kulkarni,87.69,27.13,23.66,27.15,39.17,125.74,1.31
1RV21CS171,Mahesh Kamble,74.48,38.96,37.25,41.56,28.74,136.44,2.76
1RV21CS172,Siddharth Banerjee,55.3,40.05,35.7,30.82,48.6,153.88,4.93
1RV21CS173,Naresh Deshmukh,46.12,46.2,21.31,31.61,31.2,136.87,2.79
1RV21CS174,Arjun Kumar,58.26,39.71,23.11,37.46,42.7,135.11,2.76
1RV21CS175,Tejas Tiwari,54.63,43.37,33.94,40.86,38.95,160.01,1.32
1RV21CS176,Gokul Reddy,61.14,21.31,25.98,21.26,48.0,116.97,5.95
1RV21CS177,Prakash Varma,58.93,42.6,25.73,30.71,43.43,151.39,2.66
1RV21CS178,Rohan Das,69.03,32.0,33.19,48.69,30.17,133.73,4.46
1RV21CS179,Suraj Thakur,59.67,22.48,32.73,32.92,49.85,126.61,2.47
1RV21CS180,Krishna Nair,63.04,28.87,33.38,41.53,25.0,124.41,3.24
1RV21CS181,Raghav Kumar,78.82,33.05,39.18,43.74,21.72,140.36,3.03
1RV21CS182,Naresh Gowda,53.8,20.93,45.46,40.34,33.15,122.84,2.18
1RV21CS183,Yogesh Das,64.92,48.48,20.97,24.6,33.5,132.73,3.22
1RV21CS184,Arjun Sawant,52.57,31.01,29.43,28.36,48.82,125.58,1.93
1RV21CS185,Pavan Bose,95.24,23.53,43.25,41.12,26.44,136.7,4.47
1RV21CS186,Mahesh Naidu,51.75,45.58,33.56,46.96,33.35,146.54,4.41
1RV21CS187,Yash Bhat,64.11,21.95,36.27,46.74,45.54,146.12,5.64
1RV21CS188,Vivek Rao,88.65,35.26,23.64,26.03,24.17,124.74,1.13
1RV21CS189,Ramesh Sawant,65.29,44.11,36.55,38.36,22.59,138.6,6.0
1RV21CS190,Raghav Varma,73.91,43.07,44.7,22.21,49.17,164.87,3.25
1RV21CS191,Dev Thakur,63.95,46.34,43.41,39.19,25.46,162.8,3.16
1RV21CS192,Vihaan Kulkarni,73.5,29.12,24.86,48.04,26.76,136.19,3.59
1RV21CS193,Sanjay Nair,58.78,39.05,36.53,23.76,29.08,131.31,3.51
1RV21CS194,Vishal Patil,96.79,24.63,39.76,41.62,38.15,151.04,3.82
1RV21CS195,Vivaan Nair,47.5,39.24,37.3,39.53,43.01,151.14,4.19
1RV21CS196,Mahesh Tripathi,75.01,39.26,29.06,27.35,44.22,142.43,3.27
1RV21CS197,Hemant Patel,53.69,32.47,33.93,30.21,24.31,127.1,2.6
1RV21CS198,Varun Ghosh,52.19,31.12,36.85,29.57,33.99,123.9,2.24
1RV21CS199,Krishna Patel,60.96,31.52,38.46,27.45,45.96,134.56,2.64
1RV21CS200,Siddharth Paul,62.2,42.89,34.95,35.44,34.96,144.31,1.12
1RV21CS201,Akash Bhattacharya,70.15,27.22,37.5,21.46,28.44,119.26,5.21
1RV21CS202,Dev Varma,60.72,20.25,23.22,24.02,27.93,94.29,3.02
1RV21CS203,Aditya Ghosh,47.81,36.85,30.88,28.66,31.59,125.99,3.75
1RV21CS204,Vikram Gowda,78.61,23.86,22.9,31.2,49.6,130.31,2.83
1RV21CS205,Karthik Naidu,78.14,32.04,21.21,21.17,41.41,129.21,3.6
1RV21CS206,Karthik Kamble,94.12,24.19,47.94,29.56,31.79,137.84,5.21
1RV21CS207,Suresh Yadav,72.9,35.29,34.7,36.89,34.25,131.67,2.66
1RV21CS208,Rohan Banerjee,77.1,43.9,41.76,40.64,20.8,148.17,5.84
1RV21CS209,Suresh Sawant,57.51,21.54,34.41,35.73,41.64,132.86,2.9
1RV21CS210,Dev Kapoor,46.74,48.45,23.3,20.57,29.41,120.02,4.45
1RV21CS211,Ajay Bhattacharya,87.62,47.62,46.18,42.08,21.87,153.51,2.04
1RV21CS212,Yash Bhat,71.31,31.3,48.7,33.79,35.99,147.75,4.38
1RV21CS213,Raghav Gowda,80.38,40.8,38.3,25.77,27.4,139.54,2.12
1RV21CS214,Shivam Dubey,83.77,40.71,34.67,34.39,36.81,159.23,4.61
1RV21CS215,Sanjay Kulkarni,76.54,36.3,46.87,31.84,30.35,151.43,1.73
1RV21CS216,Aditya Dubey,97.54,22.37,47.72,39.68,42.42,144.76,5.14
1RV21CS217,Praveen Deshmukh,83.29,24.12,38.47,37.6,27.27,130.64,3.66
1RV21CS218,Vivek Malhotra,47.89,32.4,41.52,23.02,43.12,126.7,3.75
1RV21CS219,Vishal Banerjee,80.91,46.42,34.27,39.52,42.68,161.12,2.43
1RV21CS220,Vihaan Nair,80.88,26.97,42.16,45.51,21.12,141.56,3.09
1RV21CS221,Nikhil Reddy,99.84,31.91,34.86,48.1,48.86,172.31,5.38
1RV21CS222,Aarav Mishra,76.24,23.22,49.49,28.54,49.67,148.25,3.47
1RV21CS223,Rahul Bhattacharya,70.74,25.78,23.38,24.87,33.77,106.74,1.93
1RV21CS224,Shreyas Yadav,88.49,37.03,42.72,25.26,45.68,163.04,5.13
1RV21CS225,Naresh Singh,49.77,40.08,25.54,24.22,29.71,117.14,2.3
1RV21CS226,Harsha Pillai,86.46,48.62,29.06,41.69,20.34,149.45,4.46
1RV21CS227,Vihaan Bhat,51.5,29.2,32.16,35.08,46.85,141.86,2.55
1RV21CS228,Rohan Tripathi,95.39,28.85,38.44,26.57,24.01,117.72,4.74
1RV21CS229,Tarun Das,67.87,36.48,34.12,36.13,39.92,140.23,2.24
1RV21CS230,Tanmay Kamble,93.02,22.46,33.4,41.11,22.34,122.44,1.31
1RV21CS231,Ramesh Bhattacharya,56.12,36.1,24.94,45.63,33.26,139.98,4.58
1RV21CS232,Mahesh Nair,94.44,33.36,21.67,23.96,32.46,123.52,3.79
1RV21CS233,Dev Mishra,84.78,31.88,44.49,42.37,37.35,144.98,2.72
1RV21CS234,Arjun Chavan,99.68,48.04,22.07,48.01,20.95,145.88,4.84
1RV21CS235,Yogesh Paul,80.52,32.61,49.79,31.47,46.09,166.71,2.88
1RV21CS236,Dev Bhat,93.1,23.99,45.81,23.56,49.79,143.22,1.64
1RV21CS237,Deepak Sharma,86.59,49.35,33.89,41.57,32.72,159.78,2.15
1RV21CS238,Gokul Kumar,53.53,25.65,46.26,42.96,20.97,130.64,4.07
1RV21CS239,Vivaan Kapoor,56.33,23.03,21.01,37.93,41.1,110.22,4.7
1RV21CS240,Akash Pillai,57.89,26.52,45.91,21.69,35.12,122.71,5.08
1RV21CS241,Raghav Sawant,62.54,37.94,40.18,29.62,29.05,129.92,4.3
1RV21CS242,Deepak Banerjee,61.53,21.83,48.46,46.39,47.35,154.88,3.14
1RV21CS243,Mahesh Patel,98.48,48.25,40.14,43.57,29.56,165.14,1.75
1RV21CS244,Abhishek Rao,86.49,34.21,45.48,29.02,41.23,158.27,5.57
1RV21CS245,Ramesh Banerjee,98.23,36.72,24.02,27.29,26.1,128.45,5.61
1RV21CS246,Suraj Nair,74.46,44.88,21.55,31.32,38.15,133.04,1.36
1RV21CS247,Tanmay Patil,84.84,36.77,34.38,46.08,29.99,156.98,1.08
1RV21CS248,Amit Kulkarni,86.08,42.63,47.43,40.87,41.11,169.86,2.2
1RV21CS249,Yash Dubey,65.94,36.01,30.78,27.85,35.38,132.31,1.49
1RV21CS250,Raghav Varma,86.89,29.61,26.09,29.39,21.37,120.87,4.71
1RV21CS251,Vivaan Agarwal,75.43,37.52,41.6,28.86,25.89,131.49,3.85
1RV21CS252,Harsha Chatterjee,75.29,48.3,30.13,42.9,34.66,162.82,4.7
1RV21CS253,Gokul Hegde,85.3,30.57,24.2,36.4,25.52,129.34,5.95
1RV21CS254,Vihaan Thakur,46.86,45.4,48.36,40.05,42.93,167.46,5.21
1RV21CS255,Deepak Gupta,83.89,20.27,35.17,31.2,38.54,129.1,4.08
1RV21CS256,Lokesh Bhat,71.83,20.2,36.55,20.36,35.88,109.88,5.89
1RV21CS257,Vivaan Bhattacharya,89.72,40.22,44.19,47.29,23.21,147.48,1.74
1RV21CS258,Amit Saxena,73.96,44.46,28.02,31.91,31.19,139.09,3.83
1RV21CS259,Hemant Malhotra,61.5,44.84,22.42,49.75,39.5,145.05,3.03
1RV21CS260,Abhishek Deshmukh,71.18,39.1,41.09,22.48,45.36,153.49,2.66
1RV21CS261,Krishna Thakur,95.55,26.89,47.04,40.77,37.0,146.27,5.62
1RV21CS262,Dev Pandey,94.46,36.91,20.99,47.86,29.43,149.19,3.94
1RV21CS263,Tanmay Sinha,90.15,47.87,28.98,36.92,37.0,164.79,4.39
1RV21CS264,Prakash Yadav,66.11,42.19,43.71,40.68,22.35,152.32,2.73
1RV21CS265,Krishna Mukherjee,57.77,22.28,38.16,38.42,37.87,139.17,2.63
1RV21CS266,Vivek Pandey,88.1,33.52,26.84,36.59,31.26,126.78,3.93
1RV21CS267,Abhishek Nair,87.47,28.86,27.39,22.21,28.04,112.42,4.92
1RV21CS268,Karthik Bose,62.42,23.2,20.16,29.25,30.8,100.04,1.66
1RV21CS269,Nikhil Mukherjee,69.69,36.64,32.24,20.79,30.62,117.67,3.99
1RV21CS270,Yash Bose,45.68,32.41,43.38,41.75,36.79,154.92,2.21
1RV21CS271,Pavan Hegde,82.69,25.09,28.07,28.05,24.38,104.02,2.38
1RV21CS272,Shivam Varma,88.05,30.83,48.33,41.63,34.87,156.13,3.29
1RV21CS273,Rahul Mishra,45.37,31.87,45.25,31.4,45.87,145.59,3.15
1RV21CS274,Yogesh Kamble,52.49,29.62,48.42,26.03,29.43,138.78,5.84
1RV21CS275,Sanjay Shekhar,79.81,49.03,43.46,29.78,28.41,161.7,2.83
1RV21CS276,Siddharth Naidu,77.57,36.37,40.45,36.5,48.59,160.03,4.54
1RV21CS277,Dinesh Dubey,90.72,22.07,45.43,43.85,40.19,140.62,2.51
1RV21CS278,Manoj Bhat,53.48,32.69,31.31,33.47,37.94,134.19,3.67
1RV21CS279,Hemant Banerjee,74.9,43.72,30.79,46.87,36.11,160.15,1.42
1RV21CS280,Harsha Bhat,81.56,24.99,38.38,36.9,39.35,141.18,5.83
1RV21CS281,Tejas Mukherjee,50.83,22.96,26.66,42.41,36.74,125.55,2.11
1RV21CS282,Suraj Ghosh,70.47,40.39,40.71,24.52,49.93,156.89,2.48
1RV21CS283,Sai Kulkarni,90.72,41.9,30.45,30.29,43.53,153.59,2.74
1RV21CS284,Krishna Pillai,84.71,33.57,22.02,21.34,41.32,117.42,2.72
1RV21CS285,Krishna Gowda,89.0,47.9,42.21,35.48,36.56,163.41,3.13
1RV21CS286,Gokul Malhotra,88.88,38.89,25.59,39.72,31.87,146.15,5.42
1RV21CS287,Dinesh Patil,68.63,20.13,26.44,28.35,41.11,121.8,3.89
1RV21CS288,Prakash Rao,65.12,25.91,23.42,40.12,34.68,131.47,2.57
1RV21CS289,Abhishek Saxena,66.59,23.43,30.56,33.74,25.18,115.63,5.0
1RV21CS290,Vikram Patil,49.66,24.02,23.54,29.16,25.49,104.81,3.55
1RV21CS291,Ajay Kamble,52.58,31.51,25.57,39.07,40.8,135.76,6.0
1RV21CS292,Ramesh Hegde,71.93,24.21,29.44,33.53,21.61,107.09,1.05
1RV21CS293,Rahul Naidu,89.84,48.91,35.16,34.85,40.54,163.98,5.2
1RV21CS294,Mahesh Hegde,49.55,20.93,42.83,28.76,28.25,115.6,1.84
1RV21CS295,Gokul Sawant,85.84,42.98,36.49,23.4,23.43,140.91,5.12
1RV21CS296,Suraj Chavan,90.24,21.25,41.57,36.39,49.69,139.05,5.15
1RV21CS297,Tanmay Kapoor,61.37,49.98,33.49,30.46,44.5,159.2,5.97
1RV21CS298,Harsha Choudhary,89.59,37.64,30.52,41.32,38.98,144.83,1.7
1RV21CS299,Ankit Choudhary,89.3,37.1,35.97,37.91,25.05,149.82,2.46
1RV21CS300,Siddharth Pandey,97.38,35.43,47.0,44.46,24.07,157.38,3.06
1RV21CS301,Vihaan Pandey,92.69,23.81,45.98,27.49,41.34,146.91,4.81
1RV21CS302,Dev Ghosh,71.92,37.32,28.06,32.43,33.56,137.19,5.4
1RV21CS303,Sai Ghosh,73.36,28.35,48.09,31.07,48.51,149.12,1.01
1RV21CS304,Raghav Nair,85.2,33.75,39.92,30.75,21.9,131.4,2.09
1RV21CS305,Arvind Choudhary,72.21,29.69,28.51,36.42,23.92,126.95,4.94
1RV21CS306,Dev Patel,47.53,38.79,45.1,20.49,47.88,142.73,3.28
